eventid_count,year,country,deaths_sum,year,Country,HappinessScore,Freedom,Health_LifeExpectancy,Economy_GDPperCapita,Trust_GovernmentCorruption,country,country_code,year,Intellecutal_Property_Indicator,country,country_code,year,military_expenses
16,2016,Sweden,0,2016,Sweden,7.291,0.58218,0.83121,1.45181,0.40867,Sweden,SWE,2016,3336027780,Sweden,SWE,2016,2.1869349324412
1,2016,Switzerland,0,2016,Switzerland,7.509,0.58557,0.86303,1.52733,0.41203,Switzerland,CHE,2016,11892876891,Switzerland,CHE,2016,2.04325015530696
2,2016,Tajikistan,2,2016,Tajikistan,4.996,0.43408,0.53119,0.48835,0.13509000000000002,Tajikistan,TJK,2016,NULL,Tajikistan,TJK,2016,NULL
3,2016,Tanzania,3,2016,Tanzania,3.666,0.3176,0.357,0.47155,0.05099,Tanzania,TZA,2016,1402980,Tanzania,TZA,2016,6.14669415058148
329,2016,Thailand,120,2016,Thailand,6.474,0.49553,0.64915,1.0893,0.02833,Thailand,THA,2016,3979480000,Thailand,THA,2016,1.07579465399685
12,2016,Tunisia,71,2016,Tunisia,5.045,0.23553,0.59577,0.97724,0.0817,Tunisia,TUN,2016,17504383.85,Tunisia,TUN,2016,8.17632086386425
542,2016,Turkey,1006,2016,Turkey,5.389,0.23889,0.64718,1.16492,0.12347999999999999,Turkey,TUR,2016,764000000,Turkey,TUR,2016,5.91671343832904
15,2016,Uganda,75,2016,Uganda,3.739,0.43653,0.19625,0.34719,0.06442,Uganda,UGA,2016,19741922.79,Uganda,UGA,2016,10.9440506547624
61,2016,Ukraine,48,2016,Ukraine,4.324,0.12859,0.58628,0.87287,0.01829,Ukraine,UKR,2016,358000000,Ukraine,UKR,2016,9.0484216186035
105,2016,"United Kingdom",9,2016,"United Kingdom",6.725,0.50036,0.80991,1.40283,0.27399,"United Kingdom",GBR,2016,11809013416,"United Kingdom",GBR,2016,4.6756310651609
64,2016,"United States",68,2016,"United States",7.104,0.48163,0.779,1.50796,0.14868,"United States",USA,2016,46577000000,"United States",USA,2016,9.04244589432762
1,2016,Uruguay,1,2016,Uruguay,6.545,0.54388,0.72183,1.18157,0.21394000000000002,Uruguay,URY,2016,109286977.9,Uruguay,URY,2016,5.65029757386208
